occurrenceID,eventID,measurementValue,measurementType,measurementAccuracy,measurementUnit,measurementTypeID,measurementUnitID
,WS19028:stn57:64um:2019-01-31T17:35:00Z,2,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,0.25,,,,,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,48.0575318705856,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,5,,,milliliter,,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,2,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,0.5,,,,,
,WS19028:stn57:64um:2019-01-31T17:35:00Z,2.039625,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,64,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
,WS19028:stn57:64um:2019-01-31T17:35:00Z,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
