"eventID","occurrenceID","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Brachyuran_Zoea:zoeae","9.49313136378098","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Brachyuran_Zoea:zoeae","400","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Calocalanus_spp:unkwn","94.9313136378098","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Calocalanus_spp:unkwn","4000","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Candacia_spp:unkwn","12.6575084850413","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Candacia_spp:unkwn","533.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Caridean_larvae:larvae","12.6575084850413","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Caridean_larvae:larvae","533.333333333333","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Chaetognaths:unkwn","142.396970456715","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Chaetognaths:unkwn","6000","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Clausocalaus_spp:unkwn","113.917576365372","Zooplankton taxonomy-related abundance per unit volume of the water column","http://vocab.nerc.ac.uk/collection/P02/current/ZATX/","Number per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UPMM/"
"WS18008:stnMR:200um:2018-01-09","WS18008:stnMR:200um:2018-01-09:Clausocalaus_spp:unkwn","4800","Count (in assayed sample) of biological entity specified elsewhere","http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/","Count of Biological Entity","http://vocab.nerc.ac.uk/collection/P09/current/OCNT/"
